Service Request Description,Department,Method Received,Created Date,Block,Street,Ward
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 7:11,26##,CHICK,WARD 10
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 7:14,12##,RIVERSIDE,WARD 3
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 8:18,52##,HAIG,WARD 8
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 8:47, ,WATSON AVE & MENARD ST,WARD 6
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 9:27,48##,PERIWINKLE,WARD 9
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 10:14,16##,KILDARE,WARD 4
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 12:09,15##,TECUMSEH,WARD 10
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 12:29,8##,WESTMINSTER,WARD 6
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 15:10,13##,FOSTER,WARD 9
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/12/2016 15:49,14##,ERIE,WARD 4
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/13/2016 10:22,9##,VILLAIRE,WARD 6
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/13/2016 11:38,8##,KENNEDY,WARD 1
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/13/2016 11:39,8##,KENNEDY,WARD 1
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/13/2016 15:22,12##,MONMOUTH,WARD 4
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/13/2016 18:20,14##,BERNARD,WARD 5
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/14/2016 16:31,34##,HARRIS,WARD 2
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/15/2016 8:23,16##,GOYEAU,WARD 3
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/16/2016 8:26,13##,ARGYLE,WARD 4
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/16/2016 12:17,118##,ROCKLAND,WARD 7
Snow & Ice - Dumping on Road/Alley,Bylaw Enforcement,Phone,12/19/2016 10:52,13##,FOSTER,WARD 9
